Unique_id,diameter,sample,trial
Id _75,74.007,15,TRUE
Id _76,74,16,TRUE
Id _77,73.984,16,TRUE
Id _78,74.005,16,TRUE
Id _79,73.998,16,TRUE
Id _80,73.996,16,TRUE
Id _81,73.994,17,TRUE
Id _82,74.012,17,TRUE
Id _83,73.986,17,TRUE
Id _84,74.005,17,TRUE
Id _85,74.007,17,TRUE
Id _86,74.006,18,TRUE
Id _87,74.01,18,TRUE
Id _88,74.018,18,TRUE
Id _89,74.003,18,TRUE
Id _90,74,18,TRUE
Id _91,73.984,19,TRUE
Id _92,74.002,19,TRUE
Id _93,74.003,19,TRUE
Id _94,74.005,19,TRUE
Id _95,73.997,19,TRUE
Id _96,74,20,TRUE
Id _97,74.01,20,TRUE
Id _98,74.013,20,TRUE
Id _99,74.02,20,TRUE
Id _100,74.003,20,TRUE
Id _101,73.988,21,TRUE
Id _102,74.001,21,TRUE
Id _103,74.009,21,TRUE
Id _104,74.005,21,TRUE
Id _105,73.996,21,TRUE
Id _106,74.004,22,TRUE
Id _107,73.999,22,TRUE
Id _108,73.99,22,TRUE
Id _109,74.006,22,TRUE
Id _110,74.009,22,TRUE
Id _111,74.01,23,TRUE
Id _112,73.989,23,TRUE
Id _113,73.99,23,TRUE
Id _114,74.009,23,TRUE
Id _115,74.014,23,TRUE
Id _116,74.015,24,TRUE
Id _117,74.008,24,TRUE
Id _118,73.993,24,TRUE
Id _119,74,24,TRUE
Id _120,74.01,24,TRUE
Id _121,73.982,25,TRUE
Id _122,73.984,25,TRUE
Id _123,73.995,25,TRUE
Id _124,74.017,25,TRUE
Id _125,74.013,25,TRUE
Id _126,74.012,26,FALSE
Id _127,74.015,26,FALSE
Id _128,74.03,26,FALSE
Id _129,73.986,26,FALSE
Id _130,74,26,FALSE
Id _131,73.995,27,FALSE
Id _132,74.01,27,FALSE
Id _133,73.99,27,FALSE
Id _134,74.015,27,FALSE
Id _135,74.001,27,FALSE
Id _136,73.987,28,FALSE
Id _137,73.999,28,FALSE
Id _138,73.985,28,FALSE
Id _139,74,28,FALSE
Id _140,73.99,28,FALSE
Id _141,74.008,29,FALSE
Id _142,74.01,29,FALSE
Id _143,74.003,29,FALSE
Id _144,73.991,29,FALSE
Id _145,74.006,29,FALSE
Id _146,74.003,30,FALSE
Id _147,74,30,FALSE
Id _148,74.001,30,FALSE
Id _149,73.986,30,FALSE
Id _150,73.997,30,FALSE
Id _151,73.994,31,FALSE
Id _152,74.003,31,FALSE
Id _153,74.015,31,FALSE
Id _154,74.02,31,FALSE
Id _155,74.004,31,FALSE
Id _156,74.008,32,FALSE
Id _157,74.002,32,FALSE
Id _158,74.018,32,FALSE
Id _159,73.995,32,FALSE
Id _160,74.005,32,FALSE
Id _161,74.001,33,FALSE
Id _162,74.004,33,FALSE
Id _163,73.99,33,FALSE
Id _164,73.996,33,FALSE
Id _165,73.998,33,FALSE
Id _166,74.015,34,FALSE
Id _167,74,34,FALSE
Id _168,74.016,34,FALSE
Id _169,74.025,34,FALSE
Id _170,74,34,FALSE
Id _171,74.03,35,FALSE
Id _172,74.005,35,FALSE
Id _173,74,35,FALSE
Id _174,74.016,35,FALSE
Id _175,74.012,35,FALSE
Id _176,74.001,36,FALSE
Id _177,73.99,36,FALSE
Id _178,73.995,36,FALSE
Id _179,74.01,36,FALSE
Id _180,74.024,36,FALSE
Id _181,74.015,37,FALSE
Id _182,74.02,37,FALSE
Id _183,74.024,37,FALSE
Id _184,74.005,37,FALSE
Id _185,74.019,37,FALSE
Id _186,74.035,38,FALSE
Id _187,74.01,38,FALSE
Id _188,74.012,38,FALSE
Id _189,74.015,38,FALSE
Id _190,74.026,38,FALSE
Id _191,74.017,39,FALSE
Id _192,74.013,39,FALSE
Id _193,74.036,39,FALSE
Id _194,74.025,39,FALSE
Id _195,74.026,39,FALSE
Id _196,74.01,40,FALSE
Id _197,74.005,40,FALSE
Id _198,74.029,40,FALSE
Id _199,74,40,FALSE
Id _200,74.02,40,FALSE
